# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2242482272
# output
#   file = bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.401316
# Diagonal elements of inverse mass matrix:
# 1.72816, 2.17571
-9.66616,0.993122,0.401316,3,7,0,10.7041,0.168241,0.287797
-9.62263,0.998899,0.401316,2,3,0,9.70877,0.175375,0.305764
-9.98436,0.981604,0.401316,2,3,0,9.9978,0.133429,0.39874
-9.7636,0.971911,0.401316,3,7,0,10.2902,0.164803,0.254072
-11.4327,0.855318,0.401316,2,3,0,11.6903,0.0804142,0.149218
-10.9163,1,0.401316,1,1,0,11.3991,0.0870605,0.180344
-10.8706,0.898973,0.401316,1,3,0,12.6245,0.0697586,0.470412
-10.9456,0.956722,0.401316,2,3,0,11.4357,0.0820391,0.183014
-11.4309,0.936734,0.401316,1,1,0,11.4683,0.0779082,0.151364
-11.9481,0.923231,0.401316,2,3,0,12.4446,0.113118,0.60777
-9.39825,1,0.401316,2,3,0,12.3471,0.268792,0.278719
-10.0489,0.979834,0.401316,2,7,0,10.3128,0.541601,0.111934
-9.444,0.998416,0.401316,2,7,0,10.1763,0.402905,0.215117
-10.6893,0.866597,0.401316,2,7,0,11.8296,0.205573,0.518054
-10.6938,1,0.401316,3,15,0,10.9375,0.348893,0.468048
-9.5648,0.875134,0.401316,2,5,0,11.2918,0.22129,0.242028
-9.54407,0.981694,0.401316,3,7,0,9.8091,0.377254,0.164214
-10.3142,0.983986,0.401316,2,3,0,10.3558,0.57902,0.100146
-10.4247,0.979507,0.401316,2,3,0,10.5831,0.596798,0.119664
-10.4167,0.660618,0.401316,3,15,0,13.6762,0.0758,0.266983
-10.2293,0.963233,0.401316,2,3,0,10.7987,0.11391,0.22806
-10.684,0.924719,0.401316,3,9,0,11.5976,0.409152,0.0533349
-9.51459,0.996085,0.401316,3,7,0,10.954,0.42907,0.222892
-9.84789,0.833635,0.401316,2,7,0,10.5727,0.181461,0.217736
-10.4422,1,0.401316,2,3,0,10.9156,0.562566,0.224224
-9.89769,1,0.401316,2,3,0,10.4941,0.401209,0.108094
-9.688,0.966864,0.401316,1,3,0,10.2677,0.48339,0.184388
-9.90389,0.863206,0.401316,2,3,0,10.5353,0.52327,0.132299
-9.58012,0.989766,0.401316,3,7,0,10.042,0.189709,0.323985
-9.48297,0.923575,0.401316,2,7,0,11.1432,0.331826,0.190872
-10.2039,0.970139,0.401316,2,7,0,10.3924,0.228882,0.46519
-9.90464,0.992897,0.401316,2,7,0,10.7679,0.422896,0.103437
-11.696,0.855125,0.401316,3,7,0,11.702,0.115746,0.590603
-10.2843,1,0.401316,2,3,0,11.5857,0.0926417,0.253815
-9.56596,0.958137,0.401316,2,7,0,11.3376,0.326374,0.175213
-10.2769,0.977731,0.401316,2,3,0,10.5666,0.568662,0.0928385
-10.2503,0.924605,0.401316,3,15,0,11.4227,0.44165,0.0713997
-12.4356,1,0.401316,3,7,0,13.2512,0.00964748,0.409198
-13.8733,0.605188,0.401316,2,5,0,15.4304,0.0347545,0.0865911
-13.2634,0.977634,0.401316,2,3,0,14.8466,0.0472471,0.650381
-12.0926,1,0.401316,3,7,0,13.9074,0.226984,0.615418
-10.753,1,0.401316,2,3,0,12.9636,0.297167,0.0828464
-9.55868,0.981685,0.401316,2,7,0,11.0407,0.239478,0.355733
-9.86674,0.815643,0.401316,2,3,0,11.1883,0.271576,0.158283
-9.4609,0.988552,0.401316,1,3,0,9.81749,0.311867,0.205279
-10.0493,0.987937,0.401316,3,7,0,10.1195,0.547718,0.162713
-10.0493,1.7453e-05,0.401316,2,3,0,16.3701,0.547718,0.162713
-9.73228,1,0.401316,3,11,0,10.0066,0.476511,0.134484
-9.7845,0.954525,0.401316,2,3,0,10.1368,0.41728,0.1183
-10.2864,0.810414,0.401316,3,7,0,11.911,0.142676,0.191742
-9.58,0.943567,0.401316,1,3,0,11.0735,0.272782,0.199011
-10.1474,0.982435,0.401316,2,7,0,10.6112,0.549963,0.0982864
-9.76996,0.977828,0.401316,3,11,0,11.6182,0.470544,0.246928
-10.868,0.380019,0.401316,2,7,0,14.198,0.610101,0.0531374
-12.049,0.946588,0.401316,3,11,0,13.8479,0.0126557,0.301464
-12.2649,0.982337,0.401316,2,3,0,12.61,0.0102387,0.369674
-11.8413,0.948748,0.401316,3,7,0,12.7018,0.0172387,0.267775
-11.4754,1,0.401316,3,11,0,12.2769,0.431966,0.0242705
-12.8984,0.861053,0.401316,3,11,0,14.0602,0.327031,0.615313
-10.8915,1,0.401316,1,1,0,12.3915,0.262074,0.524275
-10.5119,0.981674,0.401316,2,7,0,11.4422,0.260185,0.11075
-10.1803,0.97545,0.401316,1,3,0,11.0206,0.38044,0.0891108
-12.0003,0.94093,0.401316,3,7,0,13.6949,0.626569,0.0154045
-10.2311,0.987502,0.401316,3,7,0,12.8532,0.303172,0.447546
-9.84825,0.996017,0.401316,2,7,0,11.016,0.446473,0.107923
-10.6824,0.930117,0.401316,3,7,0,11.7119,0.066833,0.43217
-11.1523,0.99834,0.401316,2,3,0,11.2941,0.0341631,0.273349
-11.544,0.916874,0.401316,2,3,0,11.9875,0.0409198,0.190987
-12.4536,0.943863,0.401316,3,7,0,13.28,0.0153613,0.196001
-12.1754,0.922644,0.401316,3,7,0,13.4472,0.0280606,0.169835
-12.2554,0.974727,0.401316,3,15,0,14.0459,0.407212,0.0137943
-11.7889,1,0.401316,1,1,0,12.1709,0.472428,0.0153471
-11.8685,1,0.401316,2,3,0,11.9247,0.499546,0.0132269
-11.0616,0.991964,0.401316,2,3,0,11.9336,0.49741,0.0294917
-12.3427,0.97796,0.401316,2,3,0,12.5433,0.552697,0.00803263
-12.3865,1,0.401316,1,1,0,12.4178,0.530789,0.00761686
-10.3867,0.992247,0.401316,3,15,0,12.3043,0.111308,0.452982
-10.0574,1,0.401316,2,3,0,10.3848,0.113662,0.263401
-9.89693,0.99356,0.401316,2,3,0,10.1049,0.122812,0.337627
-10.0838,0.97285,0.401316,2,3,0,10.1816,0.123252,0.240459
-10.7242,0.981279,0.401316,3,7,0,10.9661,0.0641705,0.433355
-11.055,0.969357,0.401316,3,7,0,11.4086,0.630295,0.181358
-9.71293,1,0.401316,2,7,0,12.1519,0.172514,0.365339
